Id del anuncio;Tipo de inmueble;Dirección;Precio;Habitaciones;Baños;Barrio;Ascensor (Sí/No);Parking (Sí/No)
106687289;Piso;calle de Ramon Llull;1500;4;1;La Vega Baixa;Sí;No
106628944;Piso;avenida de Blasco Ibáñez;1750;4;2;L'Amistat;Sí;No
106685079;Piso;Barrio L'Illa Perduda;1200;3;1;L'Illa Perduda;Sí;No
106665073;Piso;plaza Pintor Anglada;1200;3;1;L'Illa Perduda;Sí;No
106679343;Piso;poeta mas y ros, 110;1000;3;1;L'Illa Perduda;Sí;No
106679366;Piso;calle de Ramon Llull, 1;1950;3;2;La Vega Baixa;Sí;No
106675653;Piso;Barrio Ciutat Jardí;1350;4;1;Ciutat Jardí;Sí;No
102429691;Ático;CLARIANO;2000;4;3;La Carrasca;Sí;Sí
106667834;Piso;plaza Pintor Anglada, 1;1200;3;1;L'Illa Perduda;Sí;No
106665850;Piso;avenida de Blasco Ibáñez, 106;1750;4;2;L'Amistat;Sí;No
106655704;Piso;plaza Pintor Anglada, 1;1200;3;1;L'Illa Perduda;Sí;No
106664018;Piso;avenida de Blasco Ibáñez;1600;4;2;La Vega Baixa;Sí;No
106663061;Piso;Barrio L'Illa Perduda;1200;3;1;L'Illa Perduda;Sí;No
106345302;Piso;avenida de Blasco Ibáñez, 125;900;1;1;Ciutat Jardí;Sí;No
106523263;Piso;avenida de Blasco Ibáñez;1400;2;1;Ciutat Jardí;Sí;No
106651349;Piso;avenida de Blasco Ibáñez;2200;4;3;La Vega Baixa;Sí;No
106609668;Piso;calle d'Albuixech;950;1;1;L'Amistat;Sí;No
102321464;Piso;calle del Clariano;2000;5;4;La Vega Baixa;Sí;No
106035580;Piso;plaza del Poeta Vicente Gaos;1500;3;2;La Carrasca;Sí;No
106230569;Ático;plaza de José María Orense;1800;3;2;La Carrasca;Sí;No
105277126;Piso;avenida de Blasco Ibáñez;1700;2;3;La Carrasca;Sí;No
105986267;Piso;calle de Ramon Llull;1500;3;1;La Vega Baixa;Sí;No
106446287;Piso;Barrio La Carrasca;1400;1;1;La Carrasca;Sí;No
106344274;Piso;Barrio La Vega Baixa;1800;4;2;La Vega Baixa;Sí;No
106663984;Estudio;avenida de Blasco Ibáñez;1000;0;1;Ciutat Jardí;No;No
106248497;Piso;plaza de Fra Lluís Colomer;1600;4;2;La Carrasca;Sí;No
106663900;Estudio;avenida de Blasco Ibáñez;900;0;1;Ciutat Jardí;No;No
106663899;Estudio;avenida de Blasco Ibáñez;1000;0;1;Ciutat Jardí;No;No
102307621;Piso;calle dels Sants Just i Pastor;2800;3;2;Ciutat Jardí;Sí;No
106610051;Piso;calle del Poeta Mas y Ros;799;3;1;Ciutat Jardí;Sí;No
106478023;Piso;plaza del Cedre;1600;3;1;Ciutat Jardí;Sí;No
106663611;Piso;plaza Pintor Anglada;1200;3;1;L'Illa Perduda;Sí;No
105930194;Piso;calle de Ramon Llull;1600;4;2;La Vega Baixa;Sí;No
106264665;Piso;plaza d'Hondures, 11;1500;4;2;Ciutat Jardí;Sí;No
106529181;Piso;plaza d'Hondures;1500;4;2;Ciutat Jardí;Sí;No
106647970;Piso;avenida de Blasco Ibáñez;2200;4;3;La Vega Baixa;Sí;No
106030090;Piso;avenida de Blasco Ibáñez;1600;4;2;Ciutat Jardí;Sí;No
106101408;Piso;plaza d'Hondures;1500;4;2;Ciutat Jardí;Sí;No
106041227;Piso;plaza d'Hondures;1500;4;2;Ciutat Jardí;Sí;No
106162717;Piso;calle de Ramon Llull;1950;3;2;La Vega Baixa;Sí;No
34394560;Piso;calle Manuel Candela;1300;4;2;L'Amistat;Sí;No
105771760;Piso;calle del Doctor Vicente Pallarés;1500;3;2;L'Amistat;Sí;No
106570245;Piso;avenida de Blasco Ibáñez;1399;4;2;Ciutat Jardí;Sí;No
106162717;Piso;calle de Ramon Llull;1950;3;2;La Vega Baixa;Sí;No
105426301;Estudio;calle del Poeta Mas y Ros, 47;850;0;1;Ciutat Jardí;Sí;No
105865855;Piso;calle de Campoamor;1700;4;2;Ciutat Jardí;Sí;No
91035327;Piso;avenida Blasco Ibáñez;1750;4;2;L'Amistat;Sí;No
105706590;Piso;calle del Músic Ginés;1400;4;2;Ciutat Jardí;Sí;No
90906380;Piso;calle del Poeta Andrés Cabrelles;1700;4;2;L'Illa Perduda;Sí;No
105104690;Piso;Ingeniero Rafael Janini;2000;5;2;L'Illa Perduda;Sí;No
106660890;Piso;Barrio L'Illa Perduda;1200;3;1;L'Illa Perduda;Sí;No
106163307;Piso;calle del Doctor Manuel Candela;1350;4;1;L'Amistat;Sí;No
105809712;Piso;Barrio L'Illa Perduda;1350;3;2;L'Illa Perduda;Sí;No
106064569;Piso;calle del Clariano, 14;1650;4;2;La Vega Baixa;Sí;Sí
106590974;Piso;calle del Serpis;1600;3;2;Ciutat Jardí;Sí;Sí
83727993;Piso;calle D'Alguer, 13;1200;2;1;L'Illa Perduda;Sí;No
106599145;Piso;calle del Serpis;1500;3;2;La Vega Baixa;Sí;No
106633915;Piso;calle de Ramon Llull;1500;4;1;La Vega Baixa;Sí;No
90572683;Piso;calle del Poeta Mas Y Ros;1950;4;2;L'Illa Perduda;Sí;No
106589088;Piso;calle de Ramon Llull;1500;4;1;La Vega Baixa;Sí;Sí
97934252;Piso;calle del Músic Ginés, 3;1600;4;2;Ciutat Jardí;Sí;Sí
97961575;Piso;calle de Santa Cruz de la Zarza, 1;1000;1;1;La Carrasca;Sí;No
