Id del anuncio;Tipo de inmueble;Dirección;Precio;Habitaciones;Baños;Barrio;Ascensor (Sí/No);Parking (Sí/No)
106069073;Estudio;Barrio La Carrasca;210000;0;1;La Carrasca;Sí;No
104330303;Estudio;calle del Serpis;299900;0;1;Ciutat Jardí;Sí;Sí
105735895;Piso;calle de l'Explorador Andrés;280000;4;2;Ciutat Jardí;Sí;No
105891908;Piso;Barrio La Carrasca;220000;1;1;La Carrasca;Sí;No
104138733;Piso;Barrio Ciutat Jardí;319000;1;1;Ciutat Jardí;Sí;No
105882096;Piso;calle Pintor José Mongrell;290000;3;1;L'Illa Perduda;Sí;No
105753668;Piso;calle de l'Actriu Encarna Máñez;360000;2;1;Ciutat Jardí;Sí;Sí
106463791;Piso;avenida de Blasco Ibáñez;400000;3;2;La Vega Baixa;Sí;No
104610949;Piso;calle dels Sants Just i Pastor;239000;4;1;L'Illa Perduda;Sí;No
106299501;Piso;Barrio L'Illa Perduda;385000;3;2;L'Illa Perduda;Sí;Sí
105824237;Piso;Barrio Ciutat Jardí;575000;4;2;Ciutat Jardí;Sí;Sí
105797614;Piso;Barrio L'Illa Perduda;298990;3;2;L'Illa Perduda;Sí;No
106176365;Piso;Barrio La Vega Baixa;395000;4;2;La Vega Baixa;Sí;No
105359647;Piso;calle de Santa Cruz de la Zarza;360000;4;2;La Carrasca;Sí;Sí
105554608;Piso;avenida de Blasco Ibáñez;299000;4;2;Ciutat Jardí;Sí;No
105110127;Piso;Barrio Ciutat Jardí;299900;1;1;Ciutat Jardí;Sí;No
106690409;Piso;Barrio L'Illa Perduda;210000;4;1;L'Illa Perduda;Sí;No
101712023;Piso;calle del Pintor Ferrer Calatayud;270000;3;2;L'Illa Perduda;Sí;No
104264085;Duplex;calle del Doctor Vicente Pallarés, 4;555000;6;3;L'Amistat;Sí;Sí
106430591;Piso;plaza d'Hondures;300000;4;2;Ciutat Jardí;Sí;No
104710780;Piso;Barrio L'Illa Perduda;270000;3;2;L'Illa Perduda;Sí;No
105305861;Piso;calle del Clariano;469000;3;2;La Vega Baixa;Sí;Sí
104219443;Piso;Barrio L'Amistat;240000;5;5;L'Amistat;No;No
106113312;Piso;avenida de Blasco Ibáñez, 121;390000;4;2;Ciutat Jardí;Sí;Sí
106228262;Piso;plaza d'Hondures;290000;3;2;Ciutat Jardí;Sí;No
105524542;Piso;calle del Serpis;299000;1;1;Ciutat Jardí;Sí;Sí
105474386;Piso;Barrio Ciutat Jardí;207000;3;2;Ciutat Jardí;Sí;No
105968618;Piso;calle de Leandro de Saralegui;420000;4;2;La Vega Baixa;Sí;Sí
106463614;Piso;avenida de Blasco Ibáñez;379000;3;1;L'Amistat;Sí;No
106430962;Piso;avenida de Blasco Ibáñez;379000;3;1;L'Amistat;Sí;No
106053026;Piso;calle Historiador Claudio Sánchez Albornoz;345000;3;2;La Carrasca;Sí;No
